code_muni,name_muni,code_state,abbrev_state,name_state,code_region,name_region,latitude,longitude,ZH,Koppen,Municipio
4100103,Abatiá,41,PR,Paraná,4,Sul,"-23,30717869","-50,30966581",7601,Cfa,ABATIÁ
4100202,Adrianópolis,41,PR,Paraná,4,Sul,"-24,78346897","-48,82123339",6801,Cfa,ADRIANÓPOLIS
4100301,Agudos Do Sul,41,PR,Paraná,4,Sul,"-26,02783973","-49,31129582",6801,Cfb,AGUDOS DO SUL
4100400,Almirante Tamandaré,41,PR,Paraná,4,Sul,"-25,29650549","-49,32372664",6801,Cfb,ALMIRANTE TAMANDARÉ
4100459,Altamira Do Paraná,41,PR,Paraná,4,Sul,"-24,81332847","-52,69240638",6801,Cfa,ALTAMIRA DO PARANÁ
4100509,Altônia,41,PR,Paraná,4,Sul,"-23,90258872","-53,94885636",7701,Cfa,ALTÔNIA
4100608,Alto Paraná,41,PR,Paraná,4,Sul,"-23,07611772","-52,32358045",7601,Cfa,ALTO PARANÁ
4100707,Alto Piquiri,41,PR,Paraná,4,Sul,"-24,09829122","-53,40198302",7701,Cfa,ALTO PIQUIRI
4100806,Alvorada Do Sul,41,PR,Paraná,4,Sul,"-22,8106296","-51,25500396",7601,Cfa,ALVORADA DO SUL
4100905,Amaporã,41,PR,Paraná,4,Sul,"-23,12870838","-52,83481929",7501,Cfa,AMAPORÃ
4101002,Ampére,41,PR,Paraná,4,Sul,"-25,91668752","-53,48323706",6801,Cfa,AMPÉRE
4101051,Anahy,41,PR,Paraná,4,Sul,"-24,64418139","-53,14382052",7801,Cfa,ANAHY
4101101,Andirá,41,PR,Paraná,4,Sul,"-23,01786909","-50,27153922",7601,Cfa,ANDIRÁ
4101150,Ângulo,41,PR,Paraná,4,Sul,"-23,19158578","-51,91831741",7701,Cfa,ÂNGULO
4101200,Antonina,41,PR,Paraná,4,Sul,"-25,30518317","-48,72240257",7901,Cfa,ANTONINA
4101309,Antônio Olinto,41,PR,Paraná,4,Sul,"-25,95998884","-50,12849818",6701,Cfb,ANTÔNIO OLINTO
4101408,Apucarana,41,PR,Paraná,4,Sul,"-23,57219064","-51,4462288",7701,Cfa,APUCARANA
4101507,Arapongas,41,PR,Paraná,4,Sul,"-23,44079603","-51,42821593",7701,Cfa,ARAPONGAS
4101606,Arapoti,41,PR,Paraná,4,Sul,"-24,09246237","-49,975629",6701,Cfb,ARAPOTI
4101655,Arapuã,41,PR,Paraná,4,Sul,"-24,34403028","-51,81534974",7801,Cfa,ARAPUÃ
4101705,Araruna,41,PR,Paraná,4,Sul,"-23,95514129","-52,57665416",7701,Cfa,ARARUNA
4101804,Araucária,41,PR,Paraná,4,Sul,"-25,60855792","-49,44150171",6701,Cfb,ARAUCÁRIA
4101853,Ariranha Do Ivaí,41,PR,Paraná,4,Sul,"-24,37710414","-51,54082732",7801,Cfa,ARIRANHA DO IVAÍ
4101903,Assaí,41,PR,Paraná,4,Sul,"-23,40548958","-50,87557696",7601,Cfa,ASSAÍ
4102000,Assis Chateaubriand,41,PR,Paraná,4,Sul,"-24,42592471","-53,58457093",7701,Cfa,ASSIS CHATEAUBRIAND
4102109,Astorga,41,PR,Paraná,4,Sul,"-23,24998492","-51,69970462",7701,Cfa,ASTORGA
4102208,Atalaia,41,PR,Paraná,4,Sul,"-23,12867","-52,06493155",7601,Cfa,ATALAIA
4102307,Balsa Nova,41,PR,Paraná,4,Sul,"-25,52184639","-49,68867872",6801,Cfb,BALSA NOVA
4102406,Bandeirantes,41,PR,Paraná,4,Sul,"-23,16087049","-50,34644326",7601,Cfa,BANDEIRANTES
4102505,Barbosa Ferraz,41,PR,Paraná,4,Sul,"-24,08221812","-52,04668903",7701,Cfa,BARBOSA FERRAZ
4102604,Barracão,41,PR,Paraná,4,Sul,"-26,24602182","-53,52845157",6901,Cfa,BARRACÃO
4102703,Barra Do Jacaré,41,PR,Paraná,4,Sul,"-23,1057411","-50,15921738",7601,Cfa,BARRA DO JACARÉ
4102752,Bela Vista Da Caroba,41,PR,Paraná,4,Sul,"-25,88105273","-53,63420284",6801,Cfa,BELA VISTA DA CAROBA
4102802,Bela Vista Do Paraíso,41,PR,Paraná,4,Sul,"-23,00509624","-51,23574333",7601,Cfa,BELA VISTA DO PARAÍSO
4102901,Bituruna,41,PR,Paraná,4,Sul,"-26,17096851","-51,52744467",5901,Cfb,BITURUNA
4103008,Boa Esperança,41,PR,Paraná,4,Sul,"-24,25681041","-52,75112995",7801,Cfa,BOA ESPERANÇA
4103024,Boa Esperança Do Iguaçu,41,PR,Paraná,4,Sul,"-25,64012351","-53,22603943",6801,Cfa,BOA ESPERANÇA DO IGUAÇU
4103040,Boa Ventura De São Roque,41,PR,Paraná,4,Sul,"-24,85665115","-51,56852771",6801,Cfb,BOA VENTURA DE SÃO ROQUE
4103057,Boa Vista Da Aparecida,41,PR,Paraná,4,Sul,"-25,43481481","-53,42232562",7801,Cfa,BOA VISTA DA APARECIDA
4103107,Bocaiúva Do Sul,41,PR,Paraná,4,Sul,"-25,11640816","-48,9365931",6801,Cfb,BOCAIÚVA DO SUL
4103156,Bom Jesus Do Sul,41,PR,Paraná,4,Sul,"-26,16240508","-53,55257143",6901,Cfa,BOM JESUS DO SUL
4103206,Bom Sucesso,41,PR,Paraná,4,Sul,"-23,71302883","-51,82428024",7701,Cfa,BOM SUCESSO
4103222,Bom Sucesso Do Sul,41,PR,Paraná,4,Sul,"-26,0860692","-52,83881566",6801,Cfa,BOM SUCESSO DO SUL
4103305,Borrazópolis,41,PR,Paraná,4,Sul,"-23,93911611","-51,59200617",7701,Cfa,BORRAZÓPOLIS
4103354,Braganey,41,PR,Paraná,4,Sul,"-24,80142289","-53,09047598",6801,Cfa,BRAGANEY
4103370,Brasilândia Do Sul,41,PR,Paraná,4,Sul,"-24,16612606","-53,54176592",7701,Cfa,BRASILÂNDIA DO SUL
4103404,Cafeara,41,PR,Paraná,4,Sul,"-22,81299182","-51,71131484",7601,Cfa,CAFEARA
4103453,Cafelândia,41,PR,Paraná,4,Sul,"-24,69245716","-53,36395661",6801,Cfa,CAFELÂNDIA
