Municipio,GYGA_CZ,Latitude,Longitude,class,EstacaoINMET
Adrianópolis,6801,"-24,78345303","-48,82120853",0,Não
Agudos do Sul,6801,"-26,02775598","-49,31124607",0,Não
Almirante Tamandaré,6801,"-25,29648316","-49,32365539",0,Não
Alto Paraíso,7701,"-23,53883839","-53,82464568",0,Não
Alto Paraná,7601,"-23,07609397","-52,32357747",0,Não
Altônia,7701,"-23,90255768","-53,94884379",0,Não
Alvorada do Sul,7601,"-22,81064461","-51,25506485",0,Não
Amaporã,7501,"-23,12881134","-52,83486057",0,Não
Ângulo,7701,"-23,19160307","-51,91826071",0,Não
Antonina,7901,"-25,30514012","-48,7224128",0,Não
Antônio Olinto,6701,"-25,95997226","-50,12841722",0,Não
Arapoti,6701,"-24,0924849","-49,97564324",0,Não
Araucária,6701,"-25,60860578","-49,441488",0,Não
Astorga,7701,"-23,25001332","-51,69971236",0,Não
Atalaia,7601,"-23,12861059","-52,0649383",0,Não
Balsa Nova,6801,"-25,52180975","-49,68865228",0,Não
Bela Vista do Paraíso,7601,"-23,00505354","-51,23577351",0,Não
Bocaiúva do Sul,6801,"-25,1163861","-48,93654051",0,Não
Cafeara,7601,"-22,81307163","-51,71124791",0,Não
Cambará,7601,"-22,99700604","-50,08282706",0,Não
Cambé,7701,"-23,17975889","-51,28431514",0,Não
Campina Grande do Sul,6901,"-25,18649733","-48,84453919",0,Não
Campo do Tenente,6701,"-25,97784807","-49,65639836",0,Não
Campo Largo,6801,"-25,29241983","-49,61873766",0,Não
Campo Magro,6801,"-25,28967472","-49,46270246",0,Não
Carambeí,6801,"-24,89357031","-50,15161924",0,Não
Carlópolis,7601,"-23,45970209","-49,71277597",0,Não
Castro,6801,"-24,79960871","-49,84167193",1,INMET
Centenário do Sul,7601,"-22,80535692","-51,56059145",0,Não
Cerro Azul,6801,"-24,87536916","-49,27971605",0,Não
Cidade Gaúcha,7601,"-23,38283158","-52,9584859",1,INMET
Colombo,6801,"-25,30627281","-49,18848396",1,INMET
Colorado,7601,"-22,8361124","-51,97177952",0,Não
Contenda,6701,"-25,71912345","-49,52612158",0,Não
Cruzeiro do Oeste,7701,"-23,75874099","-53,08335666",0,Não
Cruzeiro do Sul,7601,"-22,98801257","-52,16248803",0,Não
Curitiba,6801,"-25,47790945","-49,28824448",1,INMET
Diamante do Norte,7501,"-22,63504354","-52,89282823",1,INMET
Douradina,7601,"-23,3475933","-53,29004652",0,Não
Doutor Ulysses,6701,"-24,62643616","-49,39296484",0,Não
Esperança Nova,7701,"-23,71439029","-53,79878194",0,Não
Fazenda Rio Grande,6801,"-25,67641855","-49,29741733",0,Não
Floraí,7601,"-23,33273248","-52,34841629",0,Não
Florestópolis,7601,"-22,89315258","-51,40259927",0,Não
Flórida,7601,"-23,10559048","-51,95645387",0,Não
Guairaçá,7501,"-22,92286516","-52,74009835",0,Não
Guapirama,7701,"-23,46798406","-50,07694966",0,Não
Guaporema,7601,"-23,32520724","-52,82609058",0,Não
Guaraci,7601,"-22,95673524","-51,67886896",0,Não
Guaraqueçaba,7901,"-25,23413668","-48,36736538",0,Não
Guaratuba,7901,"-25,81762647","-48,76867151",0,Não
Icaraíma,7601,"-23,37360907","-53,58561869",1,INMET
Iguaraçu,7701,"-23,22684016","-51,84693953",0,Não
Inajá,7501,"-22,71864596","-52,22535642",0,Não
Indianópolis,7601,"-23,48687203","-52,67316604",0,Não
Itaguajé,7501,"-22,65966167","-51,9677432",0,Não
Itaperuçu,6801,"-25,12490137","-49,49053587",0,Não
Itaúna do Sul,7501,"-22,72872143","-52,89846242",0,Não
Ivaté,7601,"-23,35385137","-53,42427923",0,Não
Jaboti,7601,"-23,71813204","-50,07977551",0,Não
Jacarezinho,7701,"-23,15068436","-49,947417",0,Não
Jaguapitã,7701,"-23,06526327","-51,55638331",0,Não
Jaguariaíva,6801,"-24,33078824","-49,70515283",0,Não
Japurá,7601,"-23,4388435","-52,5411816",0,Não
Jardim Olinda,7501,"-22,57382177","-52,07934361",0,Não
Joaquim Távora,7701,"-23,45683528","-49,91031094",1,INMET
Lapa,6701,"-25,77051971","-49,871091",0,Não
Leópolis,7501,"-23,0266363","-50,71130004",0,Não
Loanda,7501,"-22,94913182","-53,07125284",0,Não
Lobato,7601,"-22,98175908","-51,98723781",0,Não
Lupionópolis,7501,"-22,72796763","-51,66448037",0,Não
Mandaguaçu,7601,"-23,27866747","-52,05583278",0,Não
Mandirituba,6801,"-25,84237939","-49,32228585",0,Não
Maria Helena,7701,"-23,58235214","-53,22150438",0,Não
Marilena,7501,"-22,73281504","-53,06447867",0,Não
Maringá,7701,"-23,40094904","-51,96781241",1,INMET
Matinhos,7901,"-25,76171697","-48,55456739",0,Não
Mirador,7601,"-23,20238523","-52,74614292",0,Não
